Key,English,Russian
IntroBtn,Start,Начать
Next,Next,Далее
Page1,In the game you need to cut the bits (cubes) that will appear in time with the music.[N]This is <b><color=#FF5E00FF>cube with point</color></b>. Slice it by <b><color=#FF5E00FF>swiping it in any direction</color></b>,В игре вам нужно разрезать биты (кубики)[comma] которые будут появляться в такт музыке.[N]Это <b><color=#FF5E00FF>куб с точкой</color></b>. Разруби его [comma] <b><color=#FF5E00FF>проводя по нему пальцем в любом направлении</color></b>.
Page2,This is <b><color=#FF5E00FF>cube with arrow</color></b>[N][N]In order to cut it you need to swipe it in the same direction as the arrow shows.[N]<b><color=#FF5E00FF>(In this case[comma] up)</color></b>,Это <b><color=#FF5E00FF>куб со стрелкой</color></b>[N][N]Для того чтобы разрубить его тебе нужно свайпнуть в том же направлении куда показывает стрелка.[N]<b><color=#FF5E00FF>(В этом случае[comma] вверх)</color></b>
Page3,<b><color=#FF5E00FF>In this case[comma] down</color></b>.You will also see cubes with left and right directions,<b><color=#FF5E00FF>В этом случае[comma] вниз</color></b>.Ты также увидишь кубы со стрелками влево и вправо
Page4,<b><color=#FF5E00FF>This is Line</color></b> (blue color).[N]To slice[comma] you must <b><color=#FF5E00FF>hold</color></b> your finger on the line throughout the entire time[comma] from the beginning of the line to the end,<b><color=#FF5E00FF>Это линия</color></b> (синий цвет).[N]Для разрубания тебе нужно <b><color=#FF5E00FF>удерживать</color></b> палец на линии все время[comma] от начала и до конца линии
Page5,If you see this plasma sphere[comma] then you are doing everything right[comma] it remains only to <b><color=#FF5E00FF>hold</color></b> your finger to the end of the line,Если ты видишь плазменный шар[comma] тогда ты делаешь всё правльно[comma] осталось только <b><color=#FF5E00FF>удерживать</color></b> палец до конца
PageSabers,You also will see <color=#F30><b>orange</b></color> and <color=#0CF><b>blue</b></color> cubes. And you will have <color=#F30><b>orange</b></color> and <color=#0CF><b>blue</b></color> saber for each finger. So[comma] to dematerialize orange cube you need orange saber[comma] for blue cube blue saber.[N][N]For <b>right finger</b> used <color=#F30><b>orange</b></color> saber.[N]For <b>left finger</b> <color=#0CF><b>blue</b></color> saber.,Ты также увидишь <color=#F30><b>оранжевые</b></color> и <color=#0CF><b>синие</b></color> кубы. Также у тебя будет <color=#F30><b>оранжевый</b></color> и <color=#0CF><b>синий</b></color> меч для каждого пальца. Итак[comma] для дематериализации оранжевого куба тебе понадобится оранжевый меч[comma] а для голубого - голубой меч.[N][N]Для <b>правого пальца</b> используется <color=#F30><b>оранжевый</b></color> меч.[N]Для <b>левого пальца</b><color=#0CF> <b>синий</b></color> меч.
Page6,Now the hardest part.[N]You need to choose music. You can choose the music that we have <b><color=#FF5E00FF>prepared</color></b> for you in advance or choose your <b><color=#FF5E00FF>own</color></b>.[N][N]After selecting track you can <b><color=#0091FFFF>change map</color></b> and <b><color=#0091FFFF>difficulty</color></b>,А теперь самая сложна часть.[N]Тебе нужно выбрать музыку. Ты можешь выбрать ту[comma] которую мы для тебя <b><color=#FF5E00FF>подготовили</color></b> или выбрать <b><color=#FF5E00FF>свою</color></b>.[N][N]После выбора трека ты сможешь <b><color=#0091FFFF>поменять карту</color></b> и <b><color=#0091FFFF>сложность</color></b>
Outro,So[comma] <b><color=#FF5E00FF>that's all</color></b>[N][N]Enjoy playing ;),<b><color=#FF5E00FF>Это всё</color></b>[N][N]Наслаждайся игрой ;)
Sure,Sure,Конечно

// Tutorial -> Shop
//
Shop,Shop,Магазин
ShopTutorial,This is shop[comma] here you can buy skills and boosters.[N]You can select only one skill and one booster.[N]Selected skill and booster highlighted by orange color.,Это магазин[comma] здесь можно купить навыки и бустеры.[N]Вы можете выбрать только один навык и один усилитель.[N]Выбранный навык и бустер выделены оранжевым цветом.



// Shop
//
Skills,Skills,Навыки
Boosters,Boosters,Ускорители
Sabers,Sabers,Мечи
YouHave,You have,В наличии
Cost,Cost,Цена
Buy,Buy,Купить
Select,Select,Выбрать
Selected,Selected,Выбран
Deselect,Deselect,Убрать
Time travel,Time travel,Перемотка времени
TimeTravelDescription,When you miss a cube[comma] this skill will stop time and return you 2 seconds back.,Когда ты пропускаешь куб[comma] этот навык остановит время и перемотает его на 2 секунды назад.
Explosion,Explosion,Взрыв
ExplosionDescription,When you miss a cube[comma] this skill will destroy all cubes on field,Когда ты пропустишь куб[comma] этот скилл уничтожит все кубы в зоне видимости
Coins booster (x2),Coins booster (x2),Бустер монет (x2)
DoubleCoins,Double increase in earned coins,Увеличивает вдвое количетсво зарабатываемых монет
Coins decelerator (/2),Coins decelerator (/2),Замедлитель монет (/2)
DivideCoins,Double decrease in earned coins. Idk why you need that,Вдвое уменьшает количество зарабатываемых монет. Я хз зачем тебе это нужно

// Sabers
//
Saber-1,Stick-Digger,Палка-Копалка
Saber-1-Descript,Initially[comma] it was an ordinary stick with which players were digging potatoes[comma] but then the developer forced they to chop flying cubes.,Изначально это была обычная палка[comma] которой игроки копали картошку[comma] но потом разработчик заставил ей рубить летающие кубы.
Saber-2,Used Jedi sword,Меч джедая б/у
Saber-2-Descript,Good condition. Almost never used.[N]Reason for sale - did not fit in size.[N]No bargaining.,Состояние хорошое. Почти не использовался.[N]Причина продажи - не подошёл по размеру.[N]Без торга.
Saber-3,Elite Ear Stick,Элитная ковырялка в ушах
Saber-3-Descript,It is very convenient to use.[N]It is long and narrow[comma] which allows it to reach the most inaccessible places.,Очень удобен в использовании.[N]Он длинный и узкий[comma] что позволяет ему добераться до самых труднодоступных мест
Saber-4,Katana,Катана
Saber-4-Descript,The thinnest blade of the strongest metal allows you to cut the sausage into a sandwich with the thinnest pieces,Самое тонкое лезвие из самого крепкого металла позволяет нарезать колбасу на бутерброт самыми тонкими кусочками
Saber-5,Middleage sword,Средневековый меч
Saber-5-Descript,This medieval sword was stolen from the museum by a pizza delivery man,Этот средневековый меч был украден из музея доставщиком пиццы
Saber-6,Sword for boyars,Меч для бояр
Saber-6-Descript,Expensive sword especially for rich people,Дорогостоящий меч специально для богатых людей


// Color selection
//
PayColor,Pay 690.99$ to select your own color[N]<size=24><color=#777>(no refund)</color></size>,Заплатите 690.99 $[comma] чтобы выбрать свой цвет
ColorHeader,Color selecting,Выбор цвета
Colors,Saber colors,Цвета мечей
Left,Left,Левый
Right,Right,Правый

// Daily Reward
//
DailyHeader,Daily reward,Ежедневная награда
Claim,Claim,Получить
Close,Close,Закрыть
Day,Day,День

// RankingLocker
//
Ranking,Players Rating,Рейтинг игроков
RankingText,The ranking shows the score of all players.[N]Your score is the sum of all your records.[N]This means that if you set 3 records (2k[comma]5k and 3k)[comma] then[N]your score will be equal 2k+5k+3k = 10k,В рейтинге отображаются очки всех игроков.[N]Ваши очки - это сумма всех рекордов.[N]Это значит то[comma] что если вы установили 3 рекорда (2к[comma]5к и 3к)[comma] то[N]выши очки будут равны 2к+5к+3к = 10к

// New version
//
UpdateAvailable,Update available,Доступно обновление
YourVersion,Your game version,Ваша версия игры
NewVersionAlert,You can find out what's new in the update on the page in the Play store.[N]If you postpone the update[comma] something might stop working normally.,Узнать что нового в обновлении вы сможете на странице в Play маркете.[N]Если вы отложите обновление[comma] то возможно что-то перестанет нормально работать.

// Settings
//
Settings,Settings,Настройки
Disabled,Disabled,Выкл
Enabled,Enabled,Вкл
Audio,Audio,Звук
MenuMusic,Menu music,Музыка в меню
SliceEffect,Slice effect,Эффект разрезания
Graphics,Graphics,Графика
BloomQuality,Bloom quality,Качетсво блума
BloomPower,Bloom power,Сила блума
LoadFromFile,Load from file,Загрузка из файла
Console,Console,Консоль
ShowFps,Show fps,Показывать фпс
DevStuff,Dev stuff,Приблуды разраба
MiscStuff,Misc,Разное
KickVideo,Kick video,Эффект удара


// Account
//
SignUpHint,You can play without an account[comma] but the account gives the following buns,Играть можно и без аккаунта[comma] но аккаунт даёт следующие плюшки
SignUpBuns,Saving Records[N]Participation in the leaderboard[N]Ability to rate maps[N]Ability to use the editor,Сохранение рекордов[N]Участие в таблице лидеров[N]Возможность оценивать карты[N]Возможность использовать редактор
SignUp,Sign up,Зарегистрироваться
SignUp(short),Sign up,Создать
LogIn,Log in,Войти
LogOut,Log out,Выйти
RankingPlace,Ranking place,Место в рейтинге
RankingPlaceUnknown,The ranking hasn't yet been determined,Место в рейтинге ещё не определено
RankingScore,score,очков
PlayTime,In game,В игре
dd,d,д
hh,h,ч
mm,m,м
ss,s,сек
Played,Played,Сыграл
map(one),map,карту
map(many),maps,карт
More,More,Подробнее
Leaderboard,Leaderboard,Рейтинг игроков
Registered,Registered,Зарегался
in,in,в
by,by,от
PlayedMaps,Played maps,Сыгранные карты
played,played,играл
times,times,раз
OpenProfile,Open profile,Открыть профиль
Nickname,Your nickname,Твой ник
Password,Password,Пароль
ConfirmPassword,Confirm password,Пароль ещё раз
record,record,рекорд



// === Game ==================================================================================

// Общие
//
Miss,Miss,Пропустил

// Pause
//
Pause,Pause,Пауза
Resume,Resume,Играть
Restart,Restart,Рестарт
Menu,Menu,Меню


// April
April1,All toilet paper bought up.[N]The store is temporarily closed.,Всю туалетку скупили.[N]Магазин временно закрыт.
